bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 21-06-2023 18:41:35
*B0 B1 0000001DB0 21-06-2023 19:41:35
*B0 B1 0000001DB0 21-06-2023 20:41:36
*B0 B1 0000001DB0 21-06-2023 21:41:36
*B0 B1 0000001DB0 21-06-2023 22:41:36
*B0 B1 0000001DB0 21-06-2023 23:41:37
*B0 B1 0000001DB0 22-06-2023 00:41:37
*B0 B1 0000001DB0 22-06-2023 01:41:37
*B0 B1 0000001DB0 22-06-2023 03:41:38
*B0 B1 0000001DB0 22-06-2023 04:41:38
*B0 B1 0000001DB0 22-06-2023 05:41:38
*B0 B1 0000001DB0 22-06-2023 06:41:39
*B0 B1 0000001DB0 22-06-2023 07:41:39
*B0 B1 0000001DB0 22-06-2023 08:41:39
*B0 B1 0000001DB0 22-06-2023 09:41:39
*B0 B1 0000001DB0 22-06-2023 10:41:40
*B0 B1 0000001DB0 22-06-2023 11:41:40
*B0 B1 0000001DB0 22-06-2023 12:41:40
*B0 B1 0000001DB0 22-06-2023 13:41:40
*B0 B1 0000001DB0 22-06-2023 14:41:40
*B0 B1 0000001DB0 22-06-2023 15:41:41
*B0 B1 0000001DB0 22-06-2023 16:41:41
*B0 B1 0000001DB0 22-06-2023 17:41:41
*B0 B1 0000001DB0 22-06-2023 18:41:41
*B0 B1 0000001DB0 22-06-2023 19:41:42
*B0 B1 0000001DB0 22-06-2023 20:41:42
*B0 B1 0000001DB0 22-06-2023 21:41:42
*B0 B1 0000001DB0 22-06-2023 22:41:42
*B0 B1 0000001DB0 22-06-2023 23:41:43
*B0 B1 0000001DB0 23-06-2023 00:41:43
*B0 B1 0000001DB0 23-06-2023 01:41:43
*B0 B1 0000001DB0 23-06-2023 02:41:44
*B0 B1 0000001DB0 23-06-2023 03:41:44
*B0 B1 0000001DB0 23-06-2023 04:41:44
*B0 B1 0000001DB0 23-06-2023 05:41:44
*B0 B1 0000001DB0 23-06-2023 06:41:45
